"id";"photo";"web_name";"team_code";"status";"code";"first_name";"second_name";"squad_number";"news";"now_cost";"chance_of_playing_this_round";"chance_of_playing_next_round";"value_form";"value_season";"cost_change_start";"cost_change_event";"cost_change_start_fall";"cost_change_event_fall";"in_dreamteam";"dreamteam_count";"selected_by_percent";"form";"transfers_out";"transfers_in";"transfers_out_event";"transfers_in_event";"loans_in";"loans_out";"loaned_in";"loaned_out";"total_points";"event_points";"points_per_game";"ep_this";"ep_next";"special";"minutes";"goals_scored";"assists";"clean_sheets";"goals_conceded";"penalties_saved";"penalties_missed";"yellow_cards";"red_cards";"saves";"bonus";"own_goals";"element_type";"team";"dato";"navn";"posisjon";"team_navn"
244;"160211.jpg";"Utvik";1250;"a";160211;"Bjørn Inge";"Utvik";3;"";42;NA;NA;"0.1";"6.7";-3;0;3;0;FALSE;1;2,6;"0.3";3284;2018;2;1;0;0;0;0;28;1;"2.2";"0.0";"0.0";FALSE;829;0;2;1;18;0;0;1;0;0;3;0;2;11;2017-11-16;"Bjørn Inge Utvik";"Forsvar";"SOG"
245;"192781.jpg";"Psyché";1250;"d";192781;"Christophe";"Psyché";17;"Ukjent - Sjanse for å spille: 50%";45;NA;NA;"0.0";"1.8";-5;0;5;0;FALSE;0;0,8;"0.0";1005;42;0;0;0;0;0;0;8;0;"1.3";"0.0";"0.0";FALSE;457;0;0;0;11;0;0;0;0;0;0;0;2;11;2017-11-16;"Christophe Psyché";"Forsvar";"SOG"
246;"63785.jpg";"Furebotn";1250;"u";63785;"Henrik";"Furebotn";6;"Utlånt til Fredrikstad";45;0;0;"0.0";"4.0";-5;0;5;0;FALSE;0;0,8;"0.0";893;160;3;0;0;0;0;0;18;0;"1.5";"0.0";"0.0";FALSE;586;0;0;0;14;0;0;0;0;0;0;0;3;11;2017-11-16;"Henrik Furebotn";"Midtbane";"SOG"
247;"83643.jpg";"Schulze";1250;"a";83643;"Eirik";"Schulze";7;"";49;NA;NA;"0.1";"17.4";-1;-1;1;1;FALSE;1;2,5;"0.7";1770;3222;52;3;0;0;0;0;87;0;"3.8";"1.0";"1.0";FALSE;1778;6;3;5;30;0;0;3;0;0;2;0;3;11;2017-11-16;"Eirik Schulze";"Midtbane";"SOG"
248;"100045.jpg";"Birkelund";1250;"a";100045;"Eirik";"Birkelund";27;"";49;NA;NA;"0.2";"13.1";-1;0;1;0;FALSE;0;0,6;"1.0";434;367;1;1;0;0;0;0;64;2;"2.5";"1.0";"1.0";FALSE;2340;0;4;5;41;0;0;5;0;0;0;0;3;11;2017-11-16;"Eirik Birkelund";"Midtbane";"SOG"
249;"111850.jpg";"Sveen";1250;"i";111850;"Ole Amund";"Sveen";19;"Legg - Ute på ubestemt tid";61;NA;NA;"0.0";"0.8";-4;0;4;0;FALSE;0;0,2;"0.0";575;12;0;0;0;0;0;0;5;0;"2.5";"0.0";"0.0";FALSE;42;0;1;0;0;0;0;0;0;0;0;0;4;11;2017-11-16;"Ole Amund Sveen";"Angrep";"SOG"
250;"168342.jpg";"Koomson";1250;"a";168342;"Gilbert";"Koomson";10;"";74;NA;NA;"0.5";"14.7";-1;0;1;0;FALSE;2;8,3;"3.7";7878;6995;99;24;0;0;0;0;109;2;"4.0";"4.0";"4.0";FALSE;2273;7;3;7;36;0;0;1;0;0;6;0;3;11;2017-11-16;"Gilbert Koomson";"Midtbane";"SOG"
251;"223089.jpg";"Hove";1250;"a";223089;"Johan";"Hove";28;"";42;NA;NA;"0.1";"3.8";-3;0;3;0;FALSE;0;0,5;"0.3";246;375;3;0;0;0;0;0;16;0;"1.5";"0.0";"0.0";FALSE;523;0;0;1;9;0;0;3;0;0;2;0;3;11;2017-11-16;"Johan Hove";"Midtbane";"SOG"
252;"223996.jpg";"Kjemhus";1250;"i";223996;"Lars Christian";"Kjemhus";22;"Kneskade - Ute resten av sesongen";50;NA;NA;"0.0";"5.8";-5;0;5;0;FALSE;0;0,1;"0.0";97;12;0;0;0;0;0;0;29;0;"2.2";"0.0";"0.0";FALSE;964;0;1;4;15;0;0;1;0;0;0;0;3;11;2017-11-16;"Lars Christian Kjemhus";"Midtbane";"SOG"
253;"223997.jpg";"Øy";1250;"u";223997;"Edin";"Øy";23;"Utilgjengelig";44;0;0;"0.0";"0.0";-1;0;1;0;FALSE;0;0,1;"0.0";32;6;0;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;3;11;2017-11-16;"Edin Øy";"Midtbane";"SOG"
254;"224000.jpg";"Brekkhus";1250;"u";224000;"Simen";"Brekkhus";34;"Utlånt";45;0;0;"0.0";"1.3";-5;0;5;0;FALSE;0;0,1;"0.0";60;11;2;0;0;0;0;0;6;0;"1.2";"0.0";"0.0";FALSE;121;0;0;0;2;0;0;0;0;0;0;0;3;11;2017-11-16;"Simen Brekkhus";"Midtbane";"SOG"
255;"230633.jpg";"Leikvoll Moberg";1250;"u";230633;"Vegard";"Moberg";16;"Solgt til Bodø/Glimt";39;0;0;"0.0";"0.0";-1;0;1;0;FALSE;0;0,3;"0.0";271;15;0;0;0;0;0;0;0;0;"0.0";"0.0";"0.0";FALSE;0;0;0;0;0;0;0;0;0;0;0;0;2;11;2017-11-16;"Vegard Moberg";"Forsvar";"SOG"
